TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787286435368,29.0,14.1,-0.1,0.0,15.0,10.0
63787286436446,33.0,18.0,-0.1,0.1,15.0,9.5
63787286437521,28.9,14.0,-0.1,0.0,15.0,11.2
63787286438614,28.4,13.4,-0.1,0.1,15.0,10.4
63787286439707,26.4,11.5,-0.1,0.0,15.0,8.9
63787286440783,28.6,13.7,-0.1,0.0,15.0,10.4
63787286441878,28.3,13.3,-0.1,0.1,15.0,10.6
63787286442934,27.3,12.4,-0.1,0.0,15.0,9.5
63787286444024,28.5,13.6,-0.1,0.1,15.0,10.5
63787286445117,28.2,13.3,-0.1,0.0,15.0,10.5
63787286446193,28.6,13.7,-0.1,0.0,15.0,11.9
63787286447278,29.4,14.5,-0.1,0.0,15.0,11.0
63787286448365,29.7,14.8,-0.1,0.0,15.0,12.1
63787286449427,30.6,15.6,-0.1,0.1,15.0,10.9
63787286450533,29.0,14.1,-0.1,0.1,15.0,10.8
63787286451599,28.6,13.7,-0.1,0.0,15.0,11.0
63787286452705,29.1,14.2,-0.1,0.1,15.0,10.8
63787286453776,26.8,11.9,-0.1,0.0,15.0,9.3
63787286454865,27.4,12.5,-0.1,0.0,15.0,9.9
63787286455926,28.3,13.4,-0.1,0.1,15.0,10.7
63787286457004,29.6,14.7,-0.1,0.0,15.0,11.5
63787286458111,28.8,13.9,-0.1,0.0,15.0,11.2
63787286459190,27.5,12.6,-0.1,0.0,15.0,10.4
63787286460283,29.2,14.2,-0.1,0.1,15.0,10.6
63787286461374,28.9,14.0,-0.1,0.0,15.0,10.8
63787286462452,30.2,15.2,-0.1,0.1,15.0,10.6
63787286463543,27.2,12.3,-0.1,0.0,15.0,9.4
63787286464629,27.2,12.3,-0.1,0.0,15.0,9.4
63787286465722,28.7,13.8,-0.1,0.0,15.0,10.6
63787286466798,29.2,14.3,-0.1,0.1,15.0,11.6
63787286467875,29.0,14.1,-0.1,0.0,15.0,11.5
63787286468947,28.3,13.4,-0.1,0.1,15.0,10.5
63787286470038,27.4,12.5,-0.1,0.0,15.0,9.5
63787286471124,27.7,12.8,-0.1,0.0,15.0,11.2
63787286472200,28.6,13.7,-0.1,0.0,15.0,10.0
63787286473293,30.8,15.9,-0.1,0.1,15.0,12.5
63787286474386,29.0,14.0,-0.1,0.1,15.0,10.5
