TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787047955466,29.5,14.6,-0.1,0.0,15.0,13.1
63787047956637,28.2,13.3,-0.1,0.0,15.0,11.6
63787047957850,27.4,12.5,-0.1,0.0,15.0,10.0
63787047959038,28.6,13.7,-0.1,0.0,15.0,11.8
63787047960225,28.6,13.7,-0.1,0.0,15.0,11.1
63787047961412,29.9,15.0,-0.1,0.0,15.0,13.4
63787047962577,28.7,13.8,-0.1,0.0,15.0,11.9
63787047963757,26.6,11.7,-0.1,0.0,15.0,9.4
63787047964928,29.2,14.3,-0.1,0.0,15.0,13.1
63787047966092,26.6,11.7,-0.1,0.0,15.0,9.7
63787047967275,26.6,11.7,-0.1,0.0,15.0,9.8
63787047968447,30.6,15.7,-0.1,0.0,15.0,13.0
63787047969613,28.8,13.9,-0.1,0.0,15.0,11.9
63787047970785,27.1,12.2,-0.1,0.0,15.0,10.6
63787047971966,29.6,14.7,-0.1,0.0,15.0,12.2
63787047973153,28.3,13.4,-0.1,0.0,15.0,12.0
63787047974340,28.3,13.4,-0.1,0.0,15.0,11.2
63787047975512,28.2,13.3,-0.1,0.0,15.0,11.6
63787047976699,26.5,11.6,-0.1,0.0,15.0,10.3
63787047977886,27.8,12.9,-0.1,0.0,15.0,11.0
63787047979058,27.1,12.2,-0.1,0.0,15.0,10.5
63787047980230,27.4,12.5,-0.1,0.0,15.0,11.6
63787047981401,27.6,12.7,-0.1,0.0,15.0,10.5
63787047982557,28.1,13.2,-0.1,0.0,15.0,11.9
63787047983760,29.7,14.8,-0.1,0.0,15.0,11.9
63787047984932,30.0,15.1,-0.1,0.0,15.0,12.1
63787047986103,29.7,14.8,-0.1,0.0,15.0,12.0
63787047987275,29.6,14.7,-0.1,0.0,15.0,11.4
63787047988446,29.3,14.4,-0.1,0.0,15.0,11.4
63787047989615,30.1,15.2,-0.1,0.0,15.0,12.4
63787047990787,29.2,14.3,-0.1,0.0,15.0,11.2
63787047991969,28.7,13.8,-0.1,0.0,15.0,10.6
63787047993150,30.4,15.5,-0.1,0.0,15.0,11.2
63787047994321,29.4,14.5,-0.1,0.0,15.0,11.9
63787047995493,30.2,15.3,-0.1,0.0,15.0,11.9
63787047996660,29.8,14.9,-0.1,0.0,15.0,12.3
63787047997848,28.7,13.8,-0.1,0.0,15.0,10.6
63787047999035,29.0,14.1,-0.1,0.0,15.0,10.8
63787048000222,28.9,14.0,-0.1,0.0,15.0,11.1
63787048001394,29.5,14.5,-0.1,0.0,15.0,11.2
63787048002565,28.7,13.8,-0.1,0.0,15.0,11.0
63787048003761,29.6,14.7,-0.1,0.0,15.0,11.1
63787048004947,29.3,14.4,-0.1,0.0,15.0,11.4
63787048006118,29.7,14.8,-0.1,0.0,15.0,11.6
63787048007290,30.2,15.3,-0.1,0.0,15.0,11.6
63787048008461,29.6,14.7,-0.1,0.0,15.0,12.2
63787048009657,30.0,15.1,-0.1,0.0,15.0,11.8
63787048010829,29.5,14.6,-0.1,0.0,15.0,12.0
63787048012000,29.7,14.8,-0.1,0.0,15.0,11.6
63787048013172,29.7,14.8,-0.1,0.0,15.0,12.1
63787048014344,29.6,14.6,-0.1,0.0,15.0,11.7
63787048015515,28.6,13.7,-0.1,0.0,15.0,11.3
63787048016695,29.6,14.7,-0.1,0.0,15.0,11.7
63787048017866,27.1,12.2,-0.1,0.0,15.0,10.8
63787048019034,28.8,13.9,-0.1,0.0,15.0,11.7
63787048020218,26.9,12.0,-0.1,0.0,15.0,10.6
63787048021390,27.8,12.9,-0.1,0.0,15.0,11.4
63787048022574,27.2,12.3,-0.1,0.0,15.0,10.0
63787048023745,27.0,12.1,-0.1,0.0,15.0,10.8
63787048024913,28.0,13.1,-0.1,0.0,15.0,11.7
63787048026109,27.0,12.1,-0.1,0.0,15.0,10.6
63787048027296,27.8,12.9,-0.1,0.0,15.0,10.7
63787048028484,28.6,13.7,-0.1,0.0,15.0,11.7
63787048029671,27.5,12.6,-0.1,0.0,15.0,11.0
63787048030858,27.6,12.7,-0.1,0.0,15.0,11.2
63787048032045,28.4,13.5,-0.1,0.0,15.0,11.5
63787048033232,28.3,13.4,-0.1,0.0,15.0,11.1
63787048034420,28.3,13.4,-0.1,0.0,15.0,11.4
63787048035607,28.8,13.9,-0.1,0.0,15.0,12.1
63787048036794,27.8,12.9,-0.1,0.0,15.0,11.1
63787048037981,28.8,13.9,-0.1,0.0,15.0,11.7
63787048039169,27.7,12.8,-0.1,0.0,15.0,11.1
63787048040356,26.0,11.1,-0.1,0.0,15.0,9.4
63787048041543,28.1,13.2,-0.1,0.0,15.0,11.4
63787048042730,31.3,16.4,-0.1,0.0,15.0,14.1
63787048043917,29.7,14.8,-0.1,0.0,15.0,13.2
63787048045105,28.9,14.0,-0.1,0.0,15.0,12.2
63787048046284,28.8,13.9,-0.1,0.0,15.0,12.3
63787048047472,29.0,14.1,-0.1,0.0,15.0,12.3
63787048048643,28.0,13.1,-0.1,0.0,15.0,11.4
63787048049839,31.0,16.1,-0.1,0.0,15.0,14.3
63787048051026,27.1,12.2,-0.1,0.0,15.0,11.2
63787048052191,27.3,12.4,-0.1,0.0,15.0,10.7
63787048053362,29.1,14.2,-0.1,0.0,15.0,12.4
63787048054534,29.2,14.3,-0.1,0.0,15.0,12.2
63787048055729,27.9,13.0,-0.1,0.0,15.0,11.1
63787048056917,29.5,14.5,-0.1,0.0,15.0,12.8
63787048058085,27.3,12.4,-0.1,0.0,15.0,10.3
63787048059257,27.4,12.5,-0.1,0.0,15.0,10.6
63787048060425,27.3,12.4,-0.1,0.0,15.0,10.6
63787048061596,28.8,13.9,-0.1,0.0,15.0,12.5
63787048062765,28.2,13.3,-0.1,0.0,15.0,11.2
63787048063952,26.7,11.8,-0.1,0.0,15.0,10.3
63787048065133,28.1,13.2,-0.1,0.0,15.0,10.2
63787048066320,28.5,13.6,-0.1,0.0,15.0,11.7
63787048067484,27.0,12.1,-0.1,0.0,15.0,10.8
63787048068656,27.5,12.6,-0.1,0.0,15.0,10.8
63787048069840,26.6,11.7,-0.1,0.0,15.0,9.6
63787048071027,26.8,11.9,-0.1,0.0,15.0,10.4
63787048072207,29.3,14.4,-0.1,0.0,15.0,12.7
63787048073379,26.6,11.7,-0.1,0.0,15.0,10.2
63787048074558,26.4,11.5,-0.1,0.0,15.0,9.7
63787048075746,27.5,12.6,-0.1,0.0,15.0,10.6
