,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.903,0.879,0.806,0.865,0.821,0.885,0.941,0.903,0.952,0.857,0.88,0.881,0.882
recall,1.0,0.967,0.862,0.889,0.92,0.852,0.941,0.757,0.87,0.774,0.88,0.883,0.88
f1-score,0.949,0.921,0.833,0.877,0.868,0.868,0.941,0.824,0.909,0.814,0.88,0.88,0.879
support,28.0,30.0,29.0,36.0,25.0,27.0,34.0,37.0,23.0,31.0,0.88,300.0,300.0
