TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787273320322,29.9,15.0,-0.1,0.0,15.0,12.9
63787273321384,28.4,13.5,-0.1,0.0,15.0,12.7
63787273322447,30.0,15.1,-0.1,0.0,15.0,14.1
63787273323490,28.6,13.7,-0.1,0.0,15.0,12.4
63787273324537,29.2,14.3,-0.1,0.0,15.0,13.3
63787273325599,27.7,12.8,-0.1,0.0,15.0,11.9
63787273326646,29.2,14.3,-0.1,0.0,15.0,13.1
63787273327687,29.7,14.8,-0.1,0.0,15.0,13.9
63787273328733,29.1,14.2,-0.1,0.0,15.0,13.0
63787273329780,25.9,11.0,-0.1,0.0,15.0,9.4
63787273330827,30.0,15.1,-0.1,0.0,15.0,14.2
63787273331897,30.7,15.8,-0.1,0.0,15.0,14.1
63787273332944,29.4,14.5,-0.1,0.0,15.0,13.7
63787273333990,29.6,14.7,-0.1,0.0,15.0,13.9
63787273335034,29.2,14.3,-0.1,0.0,15.0,13.1
63787273336096,28.8,13.9,-0.1,0.0,15.0,12.9
63787273337143,27.4,12.5,-0.1,0.0,15.0,10.9
63787273338190,29.5,14.6,-0.1,0.0,15.0,14.0
63787273339233,27.6,12.7,-0.1,0.0,15.0,11.7
63787273340301,29.6,14.7,-0.1,0.0,15.0,13.5
63787273341345,29.4,14.5,-0.1,0.0,15.0,13.5
63787273342391,28.5,13.6,-0.1,0.0,15.0,12.8
63787273343438,27.1,12.2,-0.1,0.0,15.0,10.8
63787273344487,28.1,13.2,-0.1,0.0,15.0,12.2
63787273345534,28.1,13.2,-0.1,0.0,15.0,11.9
63787273346596,27.7,12.8,-0.1,0.0,15.0,11.5
63787273347656,28.4,13.5,-0.1,0.0,15.0,12.2
63787273348718,28.3,13.4,-0.1,0.0,15.0,12.6
63787273349764,27.4,12.5,-0.1,0.0,15.0,11.6
63787273350820,27.4,12.5,-0.1,0.0,15.0,11.1
63787273351866,29.0,14.1,-0.1,0.0,15.0,13.0
63787273352910,27.5,12.6,-0.1,0.0,15.0,11.5
63787273353957,26.5,11.6,-0.1,0.0,15.0,10.4
63787273355012,27.3,12.4,-0.1,0.0,15.0,11.1
63787273356074,27.9,13.0,-0.1,0.0,15.0,11.2
63787273357133,27.3,12.4,-0.1,0.0,15.0,11.3
63787273358180,27.4,12.5,-0.1,0.0,15.0,11.4
63787273359223,26.0,11.1,-0.1,0.0,15.0,10.0
63787273360270,28.2,13.3,-0.1,0.0,15.0,11.9
63787273361314,27.6,12.7,-0.1,0.0,15.0,11.6
63787273362361,25.6,10.7,-0.1,0.0,15.0,9.6
63787273363420,26.1,11.2,-0.1,0.0,15.0,10.4
63787273364467,29.1,14.2,-0.1,0.0,15.0,12.7
63787273365514,24.9,10.0,-0.1,0.0,15.0,9.2
63787273366560,27.4,12.5,-0.1,0.0,15.0,11.5
63787273367607,27.3,12.4,-0.1,0.0,15.0,11.5
63787273368654,23.6,8.7,-0.1,0.0,15.0,7.9
63787273369716,28.6,13.7,-0.1,0.0,15.0,12.7
63787273370762,25.6,10.7,-0.1,0.0,15.0,9.8
63787273371809,28.0,13.1,-0.1,0.0,15.0,11.9
63787273372856,27.2,12.3,-0.1,0.0,15.0,11.1
63787273373902,27.4,12.5,-0.1,0.0,15.0,11.9
63787273374965,26.0,11.1,-0.1,0.0,15.0,10.0
63787273376027,29.2,14.3,-0.1,0.0,15.0,13.2
63787273377073,28.3,13.4,-0.1,0.0,15.0,12.2
63787273378128,27.5,12.6,-0.1,0.0,15.0,11.0
63787273379175,27.9,13.0,-0.1,0.0,15.0,10.1
63787273380237,28.0,13.1,-0.1,0.0,15.0,11.8
63787273381284,30.5,15.6,-0.1,0.0,15.0,11.4
63787273382346,27.2,12.3,-0.1,0.0,15.0,11.4
63787273383388,28.9,13.9,-0.1,0.1,15.0,12.7
63787273384444,29.3,14.4,-0.1,0.0,15.0,12.5
63787273385490,27.3,12.4,-0.1,0.0,15.0,11.4
63787273386537,29.1,14.2,-0.1,0.0,15.0,13.3
63787273387581,28.0,13.1,-0.1,0.0,15.0,11.7
63787273388643,26.7,11.8,-0.1,0.0,15.0,10.7
63787273389690,27.1,12.2,-0.1,0.0,15.0,10.6
63787273390731,26.2,11.3,-0.1,0.0,15.0,10.1
63787273391778,28.1,13.2,-0.1,0.0,15.0,11.6
63787273392857,27.5,12.6,-0.1,0.0,15.0,11.4
63787273393927,34.5,19.6,-0.1,0.0,15.0,11.0
63787273394989,38.4,23.4,-0.1,0.1,15.0,9.2
63787273396036,31.1,16.2,-0.1,0.0,15.0,12.3
63787273397098,28.1,13.2,-0.1,0.0,15.0,12.1
63787273398185,32.6,17.6,-0.1,0.1,15.0,12.1
63787273399294,39.2,24.2,-0.1,0.1,15.0,11.0
63787273400341,32.6,17.6,-0.1,0.0,15.0,12.8
63787273401423,31.9,17.0,-0.1,0.0,15.0,12.4
63787273402482,29.0,14.1,-0.1,0.0,15.0,12.8
63787273403544,28.5,13.6,-0.1,0.0,15.0,12.6
63787273404607,29.2,14.3,-0.1,0.0,15.0,13.2
63787273405668,28.0,13.1,-0.1,0.0,15.0,11.2
63787273406739,28.4,13.5,-0.1,0.0,15.0,11.8
63787273407806,29.6,14.7,-0.1,0.0,15.0,13.6
63787273408868,28.7,13.8,-0.1,0.0,15.0,12.6
63787273409912,29.1,14.2,-0.1,0.0,15.0,13.0
63787273410974,28.4,13.5,-0.1,0.0,15.0,12.5
63787273412036,29.4,14.5,-0.1,0.0,15.0,13.1
63787273413099,26.7,11.8,-0.1,0.0,15.0,10.5
63787273414158,29.2,14.3,-0.1,0.0,15.0,13.3
63787273415220,27.6,12.7,-0.1,0.0,15.0,11.5
63787273416267,31.5,16.6,-0.1,0.0,15.0,15.8
63787273417345,25.9,11.0,-0.1,0.0,15.0,10.0
63787273418407,29.4,14.5,-0.1,0.0,15.0,13.5
63787273419485,28.6,13.7,-0.1,0.0,15.0,12.5
63787273420547,26.1,11.2,-0.1,0.0,15.0,10.3
63787273421609,28.8,13.9,-0.1,0.0,15.0,12.8
63787273422687,26.8,11.9,-0.1,0.0,15.0,10.9
63787273423734,30.8,15.9,-0.1,0.0,15.0,14.8
63787273424796,29.7,14.8,-0.1,0.0,15.0,13.7
63787273425858,24.5,9.6,-0.1,0.0,15.0,8.7
63787273426920,26.1,11.2,-0.1,0.0,15.0,9.8
63787273427983,27.7,12.8,-0.1,0.0,15.0,11.8
63787273429058,27.0,12.1,-0.1,0.0,15.0,11.0
63787273430105,27.4,12.5,-0.1,0.0,15.0,10.8
63787273431148,26.1,11.2,-0.1,0.0,15.0,9.1
63787273432195,26.4,11.5,-0.1,0.0,15.0,10.0
63787273433238,26.7,11.8,-0.1,0.0,15.0,10.6
63787273434283,27.3,12.4,-0.1,0.0,15.0,11.2
63787273435363,28.1,13.2,-0.1,0.0,15.0,11.7
63787273436422,29.4,14.5,-0.1,0.0,15.0,11.7
63787273437485,28.2,13.3,-0.1,0.0,15.0,10.5
63787273438531,28.0,13.1,-0.1,0.0,15.0,10.7
63787273439609,28.0,13.1,-0.1,0.0,15.0,10.3
63787273440656,28.0,13.1,-0.1,0.0,15.0,10.4
63787273441702,28.8,13.9,-0.1,0.0,15.0,10.7
63787273442749,27.6,12.7,-0.1,0.0,15.0,10.1
63787273443827,27.8,12.9,-0.1,0.0,15.0,10.6
63787273444874,27.9,13.0,-0.1,0.0,15.0,10.7
63787273445951,28.9,14.0,-0.1,0.0,15.0,11.1
63787273446998,28.3,13.4,-0.1,0.0,15.0,10.4
63787273448076,27.9,13.0,-0.1,0.0,15.0,10.4
63787273449138,29.1,14.2,-0.1,0.0,15.0,11.4
63787273450200,28.2,13.3,-0.1,0.0,15.0,11.1
63787273451278,28.7,13.8,-0.1,0.0,15.0,10.9
63787273452356,29.7,14.8,-0.1,0.0,15.0,11.4
63787273453418,27.5,12.6,-0.1,0.0,15.0,9.9
