TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63786948495989,28.8,13.9,-0.1,0.0,15.0,11.8
63786948497161,27.8,12.9,-0.1,0.0,15.0,11.5
63786948498333,28.6,13.7,-0.1,0.0,15.0,12.5
63786948499520,27.2,12.3,-0.1,0.0,15.0,10.5
63786948500707,28.0,13.1,-0.1,0.0,15.0,11.5
63786948501879,28.4,13.5,-0.1,0.0,15.0,12.0
63786948503066,26.7,11.8,-0.1,0.0,15.0,10.5
63786948504253,28.3,13.4,-0.1,0.0,15.0,11.7
63786948505440,26.6,11.7,-0.1,0.0,15.0,10.3
63786948506627,27.8,12.9,-0.1,0.0,15.0,11.2
63786948507815,28.0,13.1,-0.1,0.0,15.0,11.8
63786948509002,29.4,14.5,-0.1,0.0,15.0,12.3
63786948510189,26.4,11.5,-0.1,0.0,15.0,10.5
63786948511376,28.3,13.4,-0.1,0.0,15.0,11.5
63786948512564,28.9,14.0,-0.1,0.0,15.0,11.8
63786948513751,27.1,12.2,-0.1,0.0,15.0,10.6
63786948514938,26.6,11.7,-0.1,0.0,15.0,10.2
63786948516125,27.5,12.6,-0.1,0.0,15.0,11.1
63786948517312,27.9,13.0,-0.1,0.0,15.0,11.6
63786948518484,26.7,11.8,-0.1,0.0,15.0,10.5
63786948519671,28.8,13.9,-0.1,0.0,15.0,12.4
63786948520858,29.4,14.5,-0.1,0.0,15.0,12.7
63786948522046,29.7,14.8,-0.1,0.0,15.0,13.4
63786948523248,29.3,14.4,-0.1,0.0,15.0,12.7
63786948524436,29.4,14.5,-0.1,0.0,15.0,12.7
63786948525623,29.0,14.1,-0.1,0.0,15.0,13.0
63786948526810,29.2,14.3,-0.1,0.0,15.0,12.6
63786948527997,28.4,13.5,-0.1,0.0,15.0,11.9
63786948529185,27.9,13.0,-0.1,0.0,15.0,11.8
63786948530372,28.4,13.5,-0.1,0.0,15.0,11.8
63786948531559,29.5,14.6,-0.1,0.0,15.0,12.8
63786948532731,29.3,14.4,-0.1,0.0,15.0,13.0
63786948533918,29.4,14.5,-0.1,0.0,15.0,13.1
63786948535105,29.4,14.5,-0.1,0.0,15.0,12.6
63786948536292,28.4,13.5,-0.1,0.0,15.0,12.4
63786948537479,27.7,12.8,-0.1,0.0,15.0,11.1
63786948538667,28.1,13.2,-0.1,0.0,15.0,11.6
63786948539854,28.7,13.8,-0.1,0.0,15.0,12.2
63786948541041,27.8,12.9,-0.1,0.0,15.0,11.6
63786948542228,28.6,13.7,-0.1,0.0,15.0,12.0
63786948543416,26.6,11.7,-0.1,0.0,15.0,10.1
63786948544603,28.5,13.6,-0.1,0.0,15.0,12.6
63786948545790,27.5,12.6,-0.1,0.0,15.0,11.2
63786948546977,29.6,14.7,-0.1,0.0,15.0,12.9
63786948548164,29.9,15.0,-0.1,0.0,15.0,13.5
63786948549352,28.9,14.0,-0.1,0.0,15.0,12.7
63786948550555,27.5,12.6,-0.1,0.0,15.0,11.4
63786948551726,27.6,12.7,-0.1,0.0,15.0,11.1
63786948552913,28.3,13.4,-0.1,0.0,15.0,12.1
63786948554101,28.1,13.2,-0.1,0.0,15.0,11.4
63786948555288,27.2,12.3,-0.1,0.0,15.0,10.7
63786948556475,28.0,13.1,-0.1,0.0,15.0,11.2
63786948557662,27.5,12.6,-0.1,0.0,15.0,11.1
63786948558849,28.3,13.4,-0.1,0.0,15.0,11.8
63786948560037,28.8,13.9,-0.1,0.0,15.0,12.4
63786948561224,26.5,11.6,-0.1,0.0,15.0,9.7
63786948562411,27.6,12.7,-0.1,0.0,15.0,11.6
63786948563598,27.2,12.3,-0.1,0.0,15.0,11.0
63786948564786,28.3,13.4,-0.1,0.0,15.0,12.3
63786948565973,28.4,13.5,-0.1,0.0,15.0,12.2
63786948567144,28.5,13.6,-0.1,0.0,15.0,12.5
63786948568332,29.2,14.3,-0.1,0.0,15.0,12.6
63786948569534,29.4,14.5,-0.1,0.0,15.0,12.4
63786948570722,28.7,13.8,-0.1,0.0,15.0,12.4
63786948571909,28.9,14.0,-0.1,0.0,15.0,12.8
63786948573080,27.0,12.1,-0.1,0.0,15.0,10.4
63786948574283,29.0,14.1,-0.1,0.0,15.0,12.6
63786948575470,29.1,14.2,-0.1,0.0,15.0,12.7
63786948576658,28.2,13.3,-0.1,0.0,15.0,11.5
63786948577845,28.8,13.9,-0.1,0.0,15.0,12.5
63786948579017,29.6,14.7,-0.1,0.0,15.0,13.6
63786948580219,28.8,13.9,-0.1,0.0,15.0,12.3
63786948581391,28.3,13.4,-0.1,0.0,15.0,12.0
63786948582563,28.2,13.3,-0.1,0.0,15.0,11.6
63786948583750,27.9,13.0,-0.1,0.0,15.0,11.9
63786948584937,28.9,14.0,-0.1,0.0,15.0,10.5
63786948586124,28.8,13.9,-0.1,0.0,15.0,12.4
63786948587296,27.6,12.7,-0.1,0.0,15.0,11.8
63786948588483,27.7,12.8,-0.1,0.0,15.0,11.3
63786948589670,28.2,13.3,-0.1,0.0,15.0,11.5
63786948590857,29.3,14.4,-0.1,0.0,15.0,13.0
63786948592060,34.3,19.4,-0.1,0.0,15.0,11.1
63786948593248,29.2,14.3,-0.1,0.0,15.0,12.2
63786948594450,28.2,13.3,-0.1,0.0,15.0,11.7
63786948595669,30.8,15.9,-0.1,0.0,15.0,14.0
63786948596856,26.9,12.0,-0.1,0.0,15.0,10.5
63786948598059,29.1,14.2,-0.1,0.0,15.0,12.8
63786948599262,27.9,13.0,-0.1,0.0,15.0,11.4
63786948600465,28.1,13.2,-0.1,0.0,15.0,11.5
63786948601667,27.6,12.7,-0.1,0.0,15.0,11.5
63786948602839,27.5,12.6,-0.1,0.0,15.0,10.4
63786948604026,29.3,14.4,-0.1,0.0,15.0,11.9
63786948605213,29.2,14.3,-0.1,0.0,15.0,11.7
63786948606401,29.3,14.4,-0.1,0.0,15.0,11.2
63786948607588,30.0,15.1,-0.1,0.0,15.0,12.0
63786948608759,28.6,13.7,-0.1,0.0,15.0,11.1
63786948609931,28.6,13.7,-0.1,0.0,15.0,11.3
63786948611118,30.6,15.7,-0.1,0.0,15.0,12.3
63786948612321,31.4,16.5,-0.1,0.0,15.0,13.2
63786948613508,29.8,14.9,-0.1,0.0,15.0,12.3
63786948614696,30.1,15.2,-0.1,0.0,15.0,12.7
63786948615883,30.1,15.2,-0.1,0.0,15.0,12.3
63786948617070,29.5,14.6,-0.1,0.0,15.0,11.7
63786948618242,29.5,14.6,-0.1,0.0,15.0,12.2
63786948619429,28.4,13.5,-0.1,0.0,15.0,10.5
63786948620600,29.5,14.5,-0.1,0.0,15.0,11.5
63786948621772,30.3,15.4,-0.1,0.0,15.0,12.2
63786948622975,30.2,15.3,-0.1,0.0,15.0,12.2
63786948624146,29.7,14.8,-0.1,0.0,15.0,12.1
63786948625334,30.1,15.2,-0.1,0.0,15.0,11.4
63786948626521,29.6,14.7,-0.1,0.0,15.0,12.3
63786948627708,28.2,13.3,-0.1,0.0,15.0,10.8
63786948628895,30.5,15.6,-0.1,0.0,15.0,13.0
63786948630083,30.6,15.7,-0.1,0.0,15.0,12.4
63786948631270,29.4,14.5,-0.1,0.0,15.0,12.3
63786948632473,29.1,14.2,-0.1,0.0,15.0,11.2
63786948633644,29.4,14.5,-0.1,0.0,15.0,11.7
63786948634816,31.7,16.8,-0.1,0.0,15.0,14.0
63786948636003,28.1,13.2,-0.1,0.0,15.0,9.7
63786948637190,29.5,14.6,-0.1,0.0,15.0,11.3
63786948638362,28.9,14.0,-0.1,0.0,15.0,11.1
63786948639549,28.6,13.7,-0.1,0.0,15.0,11.0
63786948640721,28.1,13.2,-0.1,0.0,15.0,9.9
63786948641908,28.9,14.0,-0.1,0.0,15.0,11.2
63786948643079,29.2,14.3,-0.1,0.0,15.0,11.2
63786948644267,29.1,14.2,-0.1,0.0,15.0,11.1
63786948645454,29.2,14.3,-0.1,0.0,15.0,10.9
63786948646641,29.5,14.6,-0.1,0.0,15.0,11.0
63786948647828,28.7,13.8,-0.1,0.0,15.0,10.3
63786948649000,28.9,14.0,-0.1,0.0,15.0,10.6
63786948650187,28.6,13.7,-0.1,0.0,15.0,10.6
63786948651359,28.1,13.2,-0.1,0.0,15.0,9.5
63786948652530,28.2,13.3,-0.1,0.0,15.0,10.0
63786948653702,29.0,14.1,-0.1,0.0,15.0,10.8
63786948654889,28.2,13.2,-0.1,0.0,15.0,9.9
63786948656045,28.5,13.6,-0.1,0.0,15.0,10.4
63786948657232,29.0,14.1,-0.1,0.0,15.0,11.1
63786948658420,28.8,13.9,-0.1,0.0,15.0,11.0
63786948659607,28.9,14.0,-0.1,0.0,15.0,11.1
63786948660778,28.9,14.0,-0.1,0.0,15.0,11.2
63786948661950,29.9,15.0,-0.1,0.0,15.0,11.8
63786948663137,28.1,13.2,-0.1,0.0,15.0,10.1
63786948664293,27.8,12.9,-0.1,0.0,15.0,9.6
63786948665480,28.9,14.0,-0.1,0.0,15.0,11.2
63786948666668,29.4,14.5,-0.1,0.0,15.0,11.3
63786948667855,29.3,14.4,-0.1,0.0,15.0,10.6
63786948669026,27.5,12.6,-0.1,0.0,15.0,9.5
63786948670198,28.2,13.3,-0.1,0.0,15.0,10.6
63786948671370,28.6,13.7,-0.1,0.0,15.0,9.7
63786948672541,28.0,13.1,-0.1,0.0,15.0,9.7
63786948673728,28.5,13.6,-0.1,0.0,15.0,10.0
63786948674900,29.3,14.4,-0.1,0.0,15.0,11.5
63786948676072,28.7,13.8,-0.1,0.0,15.0,10.7
63786948677243,28.7,13.8,-0.1,0.0,15.0,11.1
63786948678415,27.8,12.9,-0.1,0.0,15.0,9.7
