TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787276966275,17.8,2.9,-0.1,0.0,15.0,1.7
63787276967401,36.4,21.5,-0.1,0.0,15.0,7.5
63787276968504,39.9,24.9,-0.1,0.0,15.0,5.7
63787276969647,38.5,23.5,-0.1,0.1,15.0,7.2
63787276970771,39.1,24.2,-0.1,0.0,15.0,5.6
63787276971857,30.8,15.9,-0.1,0.0,15.0,10.1
63787276972951,30.0,15.1,-0.1,0.0,15.0,11.9
63787276974044,32.3,17.3,-0.1,0.0,15.0,9.7
63787276975122,30.3,15.4,-0.1,0.0,15.0,12.7
63787276976215,30.2,15.3,-0.1,0.0,15.0,12.0
63787276977293,35.2,20.2,-0.1,0.1,15.0,10.7
63787276978371,25.6,10.6,-0.1,0.0,15.0,9.1
63787276979449,29.4,14.5,-0.1,0.0,15.0,10.5
63787276980542,28.4,13.5,-0.1,0.0,15.0,11.1
63787276981620,27.2,12.3,-0.1,0.0,15.0,9.9
63787276982761,36.6,21.7,-0.1,0.0,15.0,8.2
63787276983885,40.5,25.6,-0.1,0.0,15.0,6.9
63787276984992,32.2,17.2,-0.1,0.0,15.0,9.7
63787276986101,35.2,20.3,-0.1,0.0,15.0,10.3
63787276987222,41.4,26.5,-0.1,0.0,15.0,12.0
63787276988332,36.2,21.3,-0.1,0.0,15.0,14.9
63787276989452,37.8,22.9,-0.1,0.0,15.0,10.2
63787276990583,37.9,22.9,-0.1,0.0,15.0,7.0
63787276991709,37.9,23.0,-0.1,0.0,15.0,6.3
63787276992832,38.3,23.4,-0.1,0.0,15.0,7.0
63787276993941,35.4,20.5,-0.1,0.0,15.0,10.0
63787276995027,32.3,17.3,-0.1,0.0,15.0,9.4
63787276996121,29.8,14.9,-0.1,0.0,15.0,8.9
63787276997230,30.3,15.4,-0.1,0.0,15.0,9.7
63787276998339,35.7,20.8,-0.1,0.0,15.0,10.8
63787276999417,29.3,14.4,-0.1,0.0,15.0,10.7
63787277000514,28.6,13.7,-0.1,0.0,15.0,9.0
63787277001607,30.7,15.8,-0.1,0.0,15.0,13.2
63787277002732,28.7,13.8,-0.1,0.0,15.0,10.9
63787277003810,29.2,14.3,-0.1,0.0,15.0,11.0
63787277004950,28.8,13.9,-0.1,0.0,15.0,9.1
63787277006044,29.2,14.3,-0.1,0.0,15.0,11.0
63787277007134,26.9,12.0,-0.1,0.0,15.0,10.9
63787277008228,29.6,14.7,-0.1,0.0,15.0,11.3
63787277009332,28.7,13.8,-0.1,0.0,15.0,10.4
63787277010435,29.7,14.8,-0.1,0.0,15.0,10.9
63787277011528,30.2,15.3,-0.1,0.0,15.0,8.9
63787277012602,29.6,14.7,-0.1,0.0,15.0,10.6
63787277013680,28.5,13.6,-0.1,0.0,15.0,11.7
63787277014805,28.6,13.7,-0.1,0.0,15.0,10.0
63787277015898,29.1,14.2,-0.1,0.0,15.0,10.9
63787277017007,26.8,11.9,-0.1,0.0,15.0,9.9
63787277018101,28.5,13.6,-0.1,0.0,15.0,11.1
63787277019194,30.5,15.6,-0.1,0.0,15.0,11.0
63787277020288,27.1,12.2,-0.1,0.0,15.0,10.5
63787277021397,26.2,11.3,-0.1,0.0,15.0,10.5
63787277022490,27.9,13.0,-0.1,0.0,15.0,11.4
63787277023568,26.7,11.8,-0.1,0.0,15.0,10.6
63787277024662,28.4,13.5,-0.1,0.0,15.0,12.5
63787277025755,26.7,11.8,-0.1,0.0,15.0,10.5
63787277026864,27.5,12.6,-0.1,0.0,15.0,11.8
