TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787006033459,27.3,12.4,-0.1,0.0,15.0,11.2
63787006034525,29.4,14.5,-0.1,0.0,15.0,11.4
63787006035591,31.1,16.2,-0.1,0.0,15.0,14.6
63787006036653,29.9,15.0,-0.1,0.0,15.0,14.0
63787006037730,28.9,14.0,-0.1,0.0,15.0,12.0
63787006038805,28.5,13.6,-0.1,0.0,15.0,12.2
63787006039878,30.7,15.8,-0.1,0.0,15.0,13.7
63787006040953,28.3,13.4,-0.1,0.0,15.0,12.1
63787006042031,28.1,13.2,-0.1,0.0,15.0,11.7
63787006043102,29.9,15.0,-0.1,0.0,15.0,13.6
63787006044161,28.9,14.0,-0.1,0.0,15.0,11.3
63787006045226,30.2,15.3,-0.1,0.0,15.0,13.6
63787006046297,27.5,12.6,-0.1,0.0,15.0,11.3
63787006047377,28.5,13.6,-0.1,0.0,15.0,12.3
63787006048454,28.1,13.2,-0.1,0.0,15.0,11.0
63787006049527,27.9,13.0,-0.1,0.0,15.0,10.4
63787006050608,29.4,14.5,-0.1,0.0,15.0,13.5
63787006051682,29.0,14.1,-0.1,0.0,15.0,12.4
63787006052747,28.9,14.0,-0.1,0.0,15.0,12.7
63787006053824,27.8,12.9,-0.1,0.0,15.0,11.7
63787006054887,29.7,14.8,-0.1,0.0,15.0,12.9
63787006055959,30.0,15.1,-0.1,0.0,15.0,13.6
63787006057032,29.6,14.7,-0.1,0.0,15.0,12.9
63787006058117,30.1,15.2,-0.1,0.0,15.0,13.8
63787006059177,30.7,15.8,-0.1,0.0,15.0,14.6
63787006060250,30.0,15.1,-0.1,0.0,15.0,12.8
63787006061331,31.4,16.5,-0.1,0.0,15.0,15.3
63787006062406,29.7,14.8,-0.1,0.0,15.0,13.1
63787006063488,30.6,15.7,-0.1,0.0,15.0,14.2
63787006064567,29.0,14.1,-0.1,0.0,15.0,13.1
63787006065633,28.7,13.8,-0.1,0.0,15.0,12.6
63787006066723,30.1,15.2,-0.1,0.0,15.0,13.5
63787006067791,28.2,13.3,-0.1,0.0,15.0,11.9
63787006068886,29.3,14.4,-0.1,0.0,15.0,13.3
63787006069958,29.4,14.5,-0.1,0.0,15.0,11.7
63787006071040,29.3,14.4,-0.1,0.0,15.0,12.5
63787006072123,29.8,14.9,-0.1,0.0,15.0,12.8
63787006073199,28.9,14.0,-0.1,0.0,15.0,13.5
63787006074278,29.8,14.9,-0.1,0.0,15.0,13.1
63787006075362,27.2,12.3,-0.1,0.0,15.0,9.9
63787006076442,25.9,11.0,-0.1,0.0,15.0,9.8
63787006077521,27.9,13.0,-0.1,0.0,15.0,11.4
63787006078594,27.5,12.6,-0.1,0.0,15.0,10.4
63787006079668,28.8,13.9,-0.1,0.0,15.0,12.3
63787006080739,28.9,14.0,-0.1,0.0,15.0,11.9
63787006081819,28.2,13.3,-0.1,0.0,15.0,11.7
63787006082879,29.9,15.0,-0.1,0.0,15.0,12.9
63787006083954,26.7,11.8,-0.1,0.0,15.0,9.9
63787006085021,27.2,12.3,-0.1,0.0,15.0,11.3
63787006086085,28.4,13.5,-0.1,0.0,15.0,11.1
63787006087155,27.0,12.1,-0.1,0.0,15.0,10.1
63787006088241,27.3,12.4,-0.1,0.0,15.0,11.3
63787006089308,28.6,13.7,-0.1,0.0,15.0,12.0
63787006090374,28.3,13.4,-0.1,0.0,15.0,11.6
63787006091455,26.8,11.9,-0.1,0.0,15.0,10.4
63787006092532,27.3,12.4,-0.1,0.0,15.0,11.0
63787006093652,27.8,12.9,-0.1,0.0,15.0,10.7
63787006094702,29.3,14.4,-0.1,0.0,15.0,13.4
63787006095786,25.9,11.0,-0.1,0.0,15.0,9.8
63787006096868,27.0,12.1,-0.1,0.0,15.0,10.6
63787006097929,28.3,13.4,-0.1,0.0,15.0,10.5
63787006098997,27.6,12.7,-0.1,0.0,15.0,11.3
63787006100076,26.5,11.6,-0.1,0.0,15.0,10.3
63787006101145,28.8,13.9,-0.1,0.0,15.0,12.4
63787006102211,28.1,13.2,-0.1,0.0,15.0,11.6
63787006103287,28.1,13.2,-0.1,0.0,15.0,11.8
63787006104355,29.1,14.2,-0.1,0.0,15.0,13.1
63787006105428,28.4,13.5,-0.1,0.0,15.0,10.9
63787006106512,28.3,13.4,-0.1,0.0,15.0,11.7
63787006107591,28.3,13.4,-0.1,0.0,15.0,11.8
63787006108672,28.1,13.2,-0.1,0.0,15.0,10.9
63787006109742,27.3,12.4,-0.1,0.0,15.0,9.8
63787006110810,29.1,14.2,-0.1,0.0,15.0,12.6
63787006111903,27.4,12.5,-0.1,0.0,15.0,11.0
63787006112979,29.4,14.5,-0.1,0.0,15.0,12.1
63787006114034,29.0,14.1,-0.1,0.0,15.0,12.5
63787006115116,28.6,13.7,-0.1,0.0,15.0,12.0
63787006116200,27.2,12.3,-0.1,0.0,15.0,11.4
63787006117284,28.8,13.9,-0.1,0.0,15.0,11.8
63787006118366,28.4,13.5,-0.1,0.0,15.0,11.1
63787006119435,28.2,13.3,-0.1,0.0,15.0,10.7
63787006120551,28.5,13.6,-0.1,0.0,15.0,10.8
63787006121651,30.4,15.5,-0.1,0.0,15.0,12.7
63787006122724,28.6,13.7,-0.1,0.0,15.0,10.7
63787006123802,30.0,15.1,-0.1,0.0,15.0,12.4
63787006124883,29.0,14.1,-0.1,0.0,15.0,12.0
63787006125967,28.8,13.9,-0.1,0.0,15.0,12.3
63787006127044,29.7,14.8,-0.1,0.0,15.0,12.9
63787006128123,29.0,14.1,-0.1,0.0,15.0,12.6
63787006129199,28.2,13.3,-0.1,0.0,15.0,11.5
63787006130291,29.3,14.4,-0.1,0.0,15.0,13.2
63787006131354,28.9,14.0,-0.1,0.0,15.0,12.5
63787006132420,29.1,14.2,-0.1,0.0,15.0,12.6
63787006133515,28.7,13.8,-0.1,0.0,15.0,12.9
63787006134594,28.5,13.6,-0.1,0.0,15.0,12.0
63787006135688,30.5,15.6,-0.1,0.0,15.0,13.7
63787006136761,28.1,13.2,-0.1,0.0,15.0,12.0
63787006137839,29.0,14.1,-0.1,0.0,15.0,12.2
63787006138906,29.9,15.0,-0.1,0.0,15.0,13.2
63787006139989,29.3,14.4,-0.1,0.0,15.0,12.3
63787006141073,27.7,12.8,-0.1,0.0,15.0,10.4
63787006142171,28.1,13.2,-0.1,0.0,15.0,11.5
63787006143253,29.8,14.9,-0.1,0.0,15.0,12.7
63787006144336,29.2,14.3,-0.1,0.0,15.0,12.3
63787006145413,27.8,12.9,-0.1,0.0,15.0,11.6
63787006146501,28.2,13.3,-0.1,0.0,15.0,11.2
63787006147570,29.0,14.1,-0.1,0.0,15.0,12.3
63787006148652,28.6,13.7,-0.1,0.0,15.0,12.1
63787006149710,29.9,15.0,-0.1,0.0,15.0,13.2
63787006150804,27.0,12.1,-0.1,0.0,15.0,10.8
63787006151869,29.0,14.1,-0.1,0.0,15.0,12.3
63787006152916,29.7,14.8,-0.1,0.0,15.0,13.2
63787006153989,30.3,15.4,-0.1,0.0,15.0,13.6
63787006155065,29.7,14.8,-0.1,0.0,15.0,13.1
63787006156130,27.9,13.0,-0.1,0.0,15.0,11.2
63787006157205,29.1,14.2,-0.1,0.0,15.0,12.5
63787006158279,30.7,15.8,-0.1,0.0,15.0,14.1
63787006159369,30.7,15.8,-0.1,0.0,15.0,14.4
63787006160434,28.0,13.1,-0.1,0.0,15.0,11.3
63787006161522,28.7,13.8,-0.1,0.0,15.0,12.5
63787006162602,28.9,14.0,-0.1,0.0,15.0,11.6
63787006163683,27.9,13.0,-0.1,0.0,15.0,11.4
63787006164747,29.9,15.0,-0.1,0.0,15.0,12.6
63787006165845,29.7,14.8,-0.1,0.0,15.0,12.7
63787006166931,27.2,12.3,-0.1,0.0,15.0,11.3
63787006167999,24.1,9.2,-0.1,0.0,15.0,7.6
63787006169084,27.9,13.0,-0.1,0.0,15.0,12.0
63787006170187,30.8,15.9,-0.1,0.0,15.0,13.1
63787006171264,29.3,14.4,-0.1,0.0,15.0,13.1
63787006172339,29.3,14.4,-0.1,0.0,15.0,12.8
63787006173399,30.5,15.6,-0.1,0.0,15.0,14.4
63787006174469,27.8,12.9,-0.1,0.0,15.0,11.4
63787006175536,30.2,15.3,-0.1,0.0,15.0,13.3
63787006176599,30.9,16.0,-0.1,0.0,15.0,14.5
63787006177687,30.8,15.9,-0.1,0.0,15.0,14.7
63787006178773,31.3,16.4,-0.1,0.0,15.0,14.9
63787006179861,27.8,12.9,-0.1,0.0,15.0,11.6
63787006180942,26.5,11.6,-0.1,0.0,15.0,10.4
63787006182025,28.4,13.5,-0.1,0.0,15.0,11.4
