TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787302688212,28.3,13.4,-0.1,0.0,15.0,11.3
63787302689290,27.9,13.0,-0.1,0.0,15.0,11.8
63787302690383,27.4,12.5,-0.1,0.0,15.0,11.5
63787302691462,28.2,13.3,-0.1,0.0,15.0,12.7
63787302692540,28.0,13.1,-0.1,0.0,15.0,12.0
63787302693630,28.4,13.5,-0.1,0.0,15.0,12.6
63787302694708,28.2,13.3,-0.1,0.0,15.0,12.3
63787302695802,27.8,12.9,-0.1,0.0,15.0,11.5
63787302696899,27.7,12.8,-0.1,0.0,15.0,11.5
63787302697993,28.8,13.9,-0.1,0.0,15.0,12.5
63787302699071,26.5,11.6,-0.1,0.0,15.0,11.3
63787302700171,27.4,12.5,-0.1,0.0,15.0,11.7
63787302701257,27.8,12.9,-0.1,0.0,15.0,12.4
63787302702351,28.4,13.5,-0.1,0.0,15.0,12.3
63787302703413,29.8,14.9,-0.1,0.0,15.0,13.7
63787302704507,29.2,14.3,-0.1,0.0,15.0,13.0
63787302705605,26.2,11.3,-0.1,0.0,15.0,10.2
63787302706693,28.0,13.1,-0.1,0.0,15.0,12.6
63787302707791,28.7,13.8,-0.1,0.0,15.0,12.5
63787302708869,30.7,15.8,-0.1,0.0,15.0,12.7
63787302709947,27.1,12.2,-0.1,0.0,15.0,11.8
63787302711048,26.6,11.7,-0.1,0.0,15.0,10.7
63787302712126,27.5,12.6,-0.1,0.0,15.0,11.7
63787302713204,28.3,13.4,-0.1,0.0,15.0,12.6
63787302714297,28.1,13.2,-0.1,0.0,15.0,12.1
63787302715375,29.2,14.3,-0.1,0.0,15.0,13.0
63787302716453,29.2,14.3,-0.1,0.0,15.0,13.0
63787302717547,28.6,13.7,-0.1,0.0,15.0,12.6
63787302718624,27.0,12.1,-0.1,0.0,15.0,11.0
63787302719723,27.1,12.2,-0.1,0.0,15.0,11.5
63787302720817,28.0,13.1,-0.1,0.0,15.0,11.9
63787302721895,29.1,14.2,-0.1,0.0,15.0,12.9
63787302722988,29.1,14.2,-0.1,0.0,15.0,13.9
63787302724081,28.0,13.1,-0.1,0.0,15.0,11.4
63787302725175,28.0,13.1,-0.1,0.0,15.0,11.6
63787302726268,27.1,12.2,-0.1,0.0,15.0,11.4
63787302727362,28.7,13.8,-0.1,0.0,15.0,12.9
63787302728438,29.1,14.2,-0.1,0.0,15.0,12.8
63787302729532,28.2,13.3,-0.1,0.0,15.0,12.4
63787302730625,27.4,12.5,-0.1,0.0,15.0,11.5
63787302731672,23.3,8.4,-0.1,0.0,15.0,7.5
63787302732750,27.0,12.1,-0.1,0.0,15.0,10.5
63787302733828,29.3,14.4,-0.1,0.0,15.0,11.3
63787302734921,28.3,13.4,-0.1,0.0,15.0,10.3
63787302736015,27.8,12.9,-0.1,0.0,15.0,10.0
63787302737093,28.8,13.9,-0.1,0.0,15.0,11.6
63787302738186,29.3,14.4,-0.1,0.0,15.0,11.7
63787302739264,28.6,13.7,-0.1,0.0,15.0,11.1
63787302740357,28.8,13.9,-0.1,0.0,15.0,11.3
63787302741435,27.7,12.8,-0.1,0.0,15.0,10.0
63787302742513,28.6,13.7,-0.1,0.0,15.0,11.4
63787302743607,28.3,13.4,-0.1,0.0,15.0,10.7
63787302744685,29.1,14.2,-0.1,0.0,15.0,11.2
63787302745778,28.8,13.9,-0.1,0.0,15.0,11.0
63787302746856,28.5,13.6,-0.1,0.0,15.0,11.6
63787302747934,28.9,14.0,-0.1,0.0,15.0,10.7
63787302749012,28.2,13.3,-0.1,0.0,15.0,10.4
63787302750105,28.0,13.1,-0.1,0.0,15.0,10.6
63787302751167,28.0,13.1,-0.1,0.0,15.0,11.3
63787302752245,28.6,13.7,-0.1,0.0,15.0,11.3
63787302753308,26.7,11.8,-0.1,0.0,15.0,9.2
63787302754401,27.9,13.0,-0.1,0.0,15.0,10.8
63787302755479,28.3,13.4,-0.1,0.0,15.0,11.1
63787302756572,29.1,14.2,-0.1,0.0,15.0,11.9
63787302757635,24.0,9.1,-0.1,0.0,15.0,7.6
63787302758728,25.9,11.0,-0.1,0.0,15.0,9.5
63787302759806,28.2,13.3,-0.1,0.0,15.0,10.6
63787302760884,28.9,14.0,-0.1,0.0,15.0,11.4
63787302761962,27.5,12.6,-0.1,0.0,15.0,10.2
63787302763024,27.8,12.9,-0.1,0.0,15.0,10.4
63787302764117,27.7,12.8,-0.1,0.0,15.0,10.1
63787302765180,28.8,13.9,-0.1,0.0,15.0,11.3
63787302766273,28.2,13.3,-0.1,0.0,15.0,10.4
63787302767367,27.9,13.0,-0.1,0.0,15.0,11.0
63787302768445,28.1,13.2,-0.1,0.0,15.0,10.2
63787302769522,29.6,14.7,-0.1,0.0,15.0,11.3
63787302770600,28.2,13.3,-0.1,0.0,15.0,11.1
63787302771678,28.4,13.5,-0.1,0.0,15.0,10.9
63787302772756,27.3,12.4,-0.1,0.0,15.0,9.7
63787302773834,27.9,13.0,-0.1,0.0,15.0,11.0
63787302774896,28.8,13.9,-0.1,0.0,15.0,10.8
63787302775974,28.9,14.0,-0.1,0.0,15.0,11.2
63787302777052,28.6,13.7,-0.1,0.0,15.0,10.8
63787302778145,27.7,12.8,-0.1,0.0,15.0,10.8
63787302779239,27.9,13.0,-0.1,0.0,15.0,10.4
63787302780317,28.6,13.7,-0.1,0.0,15.0,10.6
63787302781410,27.2,12.3,-0.1,0.0,15.0,10.0
63787302782488,28.3,13.4,-0.1,0.0,15.0,11.1
63787302783566,28.0,13.1,-0.1,0.0,15.0,10.1
63787302784644,28.2,13.3,-0.1,0.0,15.0,11.0
63787302785706,27.4,12.5,-0.1,0.0,15.0,10.0
63787302786800,28.4,13.5,-0.1,0.0,15.0,10.8
63787302787877,27.5,12.6,-0.1,0.0,15.0,10.7
63787302788955,27.5,12.6,-0.1,0.0,15.0,9.7
63787302790033,28.3,13.4,-0.1,0.0,15.0,10.6
63787302791127,28.0,13.1,-0.1,0.0,15.0,10.0
63787302792189,28.1,13.2,-0.1,0.0,15.0,10.8
63787302793267,28.7,13.8,-0.1,0.0,15.0,11.1
63787302794360,27.7,12.8,-0.1,0.0,15.0,10.9
63787302795438,29.2,14.3,-0.1,0.0,15.0,10.8
63787302796500,28.0,13.1,-0.1,0.0,15.0,10.4
63787302797563,28.6,13.7,-0.1,0.0,15.0,11.3
63787302798656,27.9,13.0,-0.1,0.0,15.0,10.0
63787302799734,27.7,12.8,-0.1,0.0,15.0,9.9
63787302800812,29.1,14.2,-0.1,0.0,15.0,11.0
63787302801890,23.1,8.2,-0.1,0.0,15.0,7.0
63787302802959,25.7,10.8,-0.1,0.0,15.0,10.1
63787302804037,27.4,12.5,-0.1,0.0,15.0,10.8
63787302805115,26.3,11.4,-0.1,0.0,15.0,10.3
63787302806193,27.9,13.0,-0.1,0.0,15.0,12.1
63787302807286,27.8,12.9,-0.1,0.0,15.0,12.0
63787302808369,28.1,13.2,-0.1,0.0,15.0,11.1
63787302809463,27.5,12.6,-0.1,0.0,15.0,11.2
63787302810547,27.9,13.0,-0.1,0.0,15.0,11.4
63787302811625,28.1,13.2,-0.1,0.0,15.0,12.1
63787302812703,27.2,12.3,-0.1,0.0,15.0,11.1
63787302813793,26.5,11.6,-0.1,0.0,15.0,10.7
63787302814870,27.8,12.9,-0.1,0.0,15.0,12.0
63787302815917,27.1,12.2,-0.1,0.0,15.0,11.3
63787302816964,22.3,7.4,-0.1,0.0,15.0,7.0
63787302818027,27.1,12.2,-0.1,0.0,15.0,11.3
63787302819121,25.3,10.4,-0.1,0.0,15.0,9.7
63787302820183,25.6,10.7,-0.1,0.0,15.0,9.8
63787302821270,26.9,12.0,-0.1,0.0,15.0,11.4
63787302822348,26.6,11.7,-0.1,0.0,15.0,10.5
63787302823441,26.3,11.4,-0.1,0.0,15.0,10.0
63787302824520,27.1,12.2,-0.1,0.0,15.0,10.9
63787302825600,29.0,14.1,-0.1,0.0,15.0,13.0
63787302826662,25.7,10.8,-0.1,0.0,15.0,9.7
63787302827772,22.4,7.5,-0.1,0.0,15.0,7.2
63787302828875,27.6,12.7,-0.1,0.0,15.0,10.2
63787302829953,28.3,13.4,-0.1,0.0,15.0,12.4
63787302831016,26.4,11.5,-0.1,0.0,15.0,10.6
63787302832109,25.9,11.0,-0.1,0.0,15.0,9.8
63787302833200,26.0,11.1,-0.1,0.0,15.0,10.6
63787302834293,26.1,11.2,-0.1,0.0,15.0,10.0
63787302835387,25.8,10.9,-0.1,0.0,15.0,10.3
63787302836479,26.7,11.8,-0.1,0.0,15.0,11.1
63787302837560,27.8,12.9,-0.1,0.0,15.0,11.6
63787302838638,28.7,13.8,-0.1,0.0,15.0,12.6
63787302839718,27.3,12.4,-0.1,0.0,15.0,11.4
63787302840796,28.3,13.4,-0.1,0.0,15.0,12.5
63787302841889,27.2,12.3,-0.1,0.0,15.0,11.3
63787302842983,27.7,12.8,-0.1,0.0,15.0,11.8
63787302844045,26.0,11.1,-0.1,0.0,15.0,10.1
63787302845106,23.5,8.6,-0.1,0.0,15.0,7.9
63787302846186,27.2,12.3,-0.1,0.0,15.0,11.4
63787302847266,27.3,12.4,-0.1,0.0,15.0,11.1
63787302848328,26.4,11.5,-0.1,0.0,15.0,10.5
63787302849407,28.2,13.3,-0.1,0.0,15.0,12.3
63787302850484,27.2,12.3,-0.1,0.0,15.0,10.6
63787302851562,27.0,12.1,-0.1,0.0,15.0,11.3
63787302852632,25.3,10.4,-0.1,0.0,15.0,10.0
63787302853718,26.9,12.0,-0.1,0.0,15.0,10.9
63787302854765,24.8,9.9,-0.1,0.0,15.0,8.9
63787302855855,23.4,8.5,-0.1,0.0,15.0,8.0
63787302856917,27.3,12.4,-0.1,0.0,15.0,11.5
63787302857995,27.2,12.3,-0.1,0.0,15.0,11.4
63787302859077,27.0,12.1,-0.1,0.0,15.0,11.0
63787302860157,26.9,12.0,-0.1,0.0,15.0,11.0
63787302861251,26.4,11.5,-0.1,0.0,15.0,10.7
63787302862337,27.0,12.1,-0.1,0.0,15.0,11.4
63787302863418,28.6,13.7,-0.1,0.0,15.0,12.9
63787302864496,26.3,11.4,-0.1,0.0,15.0,10.6
63787302865574,27.2,12.3,-0.1,0.0,15.0,11.2
63787302866636,26.8,11.9,-0.1,0.0,15.0,11.1
63787302867704,22.7,7.8,-0.1,0.0,15.0,7.1
63787302868782,26.7,11.8,-0.1,0.0,15.0,11.2
63787302869875,27.2,12.3,-0.1,0.0,15.0,11.3
63787302870938,26.8,11.9,-0.1,0.0,15.0,10.5
63787302872000,27.7,12.8,-0.1,0.0,15.0,11.8
63787302873062,26.6,11.7,-0.1,0.0,15.0,10.8
63787302874150,25.6,10.7,-0.1,0.0,15.0,9.7
63787302875228,26.6,11.7,-0.1,0.0,15.0,10.5
63787302876308,27.0,12.1,-0.1,0.0,15.0,11.1
63787302877386,27.3,12.4,-0.1,0.0,15.0,11.3
63787302878464,25.6,10.7,-0.1,0.0,15.0,9.7
63787302879510,25.7,10.7,-0.1,0.0,15.0,9.8
63787302880604,23.7,8.8,-0.1,0.0,15.0,7.9
63787302881682,26.8,11.9,-0.1,0.0,15.0,10.8
63787302882775,27.9,13.0,-0.1,0.0,15.0,12.0
63787302883869,27.4,12.5,-0.1,0.0,15.0,10.9
63787302884931,28.1,13.2,-0.1,0.0,15.0,11.7
63787302886024,26.9,12.0,-0.1,0.0,15.0,11.3
63787302887120,28.5,13.6,-0.1,0.0,15.0,12.8
63787302888196,27.9,13.0,-0.1,0.0,15.0,12.0
63787302889289,29.0,14.1,-0.1,0.0,15.0,12.2
63787302890367,27.2,12.3,-0.1,0.0,15.0,10.9
63787302891445,27.5,12.6,-0.1,0.0,15.0,12.0
63787302892547,27.4,12.5,-0.1,0.0,15.0,11.3
63787302893613,27.3,12.4,-0.1,0.0,15.0,11.0
63787302894691,25.9,11.0,-0.1,0.0,15.0,9.8
63787302895785,27.8,12.9,-0.1,0.0,15.0,12.0
63787302896878,28.2,13.3,-0.1,0.0,15.0,12.2
63787302897934,27.4,12.5,-0.1,0.0,15.0,11.6
63787302899031,28.3,13.4,-0.1,0.0,15.0,12.3
63787302900125,28.1,13.2,-0.1,0.0,15.0,11.6
63787302901202,26.4,11.5,-0.1,0.0,15.0,10.4
63787302902296,28.3,13.4,-0.1,0.0,15.0,11.7
63787302903358,24.4,9.5,-0.1,0.0,15.0,8.1
63787302904436,23.4,8.5,-0.1,0.0,15.0,8.1
63787302905514,29.2,14.3,-0.1,0.0,15.0,12.9
63787302906607,27.4,12.5,-0.1,0.0,15.0,11.6
63787302907702,26.6,11.7,-0.1,0.0,15.0,10.4
63787302908786,27.4,12.5,-0.1,0.0,15.0,12.0
63787302909880,27.6,12.7,-0.1,0.0,15.0,11.6
63787302910958,26.4,11.5,-0.1,0.0,15.0,9.7
63787302912036,28.1,13.2,-0.1,0.0,15.0,11.6
63787302913113,27.3,12.4,-0.1,0.0,15.0,10.6
63787302914204,27.4,12.5,-0.1,0.0,15.0,10.5
63787302915297,28.4,13.5,-0.1,0.0,15.0,12.1
63787302916391,26.9,12.0,-0.1,0.0,15.0,10.8
63787302917469,27.3,12.4,-0.1,0.0,15.0,11.2
63787302918531,26.2,11.3,-0.1,0.0,15.0,10.2
63787302919624,27.0,12.1,-0.1,0.0,15.0,10.8
63787302920698,27.9,13.0,-0.1,0.0,15.0,11.9
63787302921792,27.1,12.2,-0.1,0.0,15.0,11.0
63787302922854,30.5,15.6,-0.1,0.0,15.0,13.2
63787302923932,27.3,12.4,-0.1,0.0,15.0,10.8
