TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787271777525,37.4,22.2,-0.1,0.3,15.0,1.3
63787271778605,39.1,24.1,-0.1,0.0,15.0,10.0
63787271779724,36.2,21.2,-0.1,0.0,15.0,10.8
63787271780810,39.5,24.6,-0.1,0.0,15.0,9.5
63787271781920,40.6,25.7,-0.1,0.0,15.0,9.3
63787271783006,35.3,20.4,-0.1,0.0,15.0,10.5
63787271784094,36.1,21.1,-0.1,0.1,15.0,8.1
63787271785235,41.8,26.5,-0.1,0.4,15.0,10.2
63787271786327,40.2,24.4,-0.1,0.9,15.0,9.2
63787271787420,41.4,23.4,-0.1,3.1,15.0,11.5
63787271788514,38.0,21.8,-0.1,1.3,15.0,10.8
63787271789592,39.5,22.2,-0.1,2.4,15.0,10.2
63787271790685,40.6,22.6,-0.1,3.1,15.0,11.4
63787271791770,40.0,22.4,-0.1,2.7,15.0,10.6
63787271792863,42.8,27.1,-0.1,0.8,15.0,9.6
63787271793941,43.4,28.0,-0.1,0.5,15.0,9.7
63787271795019,44.0,27.9,-0.1,1.2,15.0,10.8
63787271796097,45.3,27.1,-0.1,3.3,15.0,10.5
63787271797159,43.4,28.0,-0.1,0.5,15.0,8.3
63787271798274,43.2,28.0,-0.1,0.3,15.0,7.6
63787271799352,43.0,28.0,-0.1,0.1,15.0,10.1
63787271800430,40.3,25.3,-0.1,0.2,15.0,9.1
63787271801508,37.4,22.5,-0.1,0.0,15.0,10.0
63787271802602,36.4,21.3,-0.1,0.2,15.0,10.2
63787271803655,28.2,13.3,-0.1,0.0,15.0,10.5
63787271804723,29.0,14.1,-0.1,0.0,15.0,11.4
63787271805800,26.6,11.7,-0.1,0.0,15.0,11.0
63787271806863,26.9,12.0,-0.1,0.0,15.0,10.9
63787271807925,27.4,12.5,-0.1,0.0,15.0,11.4
63787271809034,40.1,25.2,-0.1,0.0,15.0,8.9
63787271810133,38.8,23.9,-0.1,0.1,15.0,8.6
63787271811195,36.1,21.2,-0.1,0.0,15.0,9.6
63787271812273,31.1,16.2,-0.1,0.0,15.0,11.2
