TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787026828361,26.4,11.5,-0.1,0.0,15.0,9.7
63787026829488,25.2,10.3,-0.1,0.0,15.0,9.5
63787026830603,23.7,8.8,-0.1,0.0,15.0,7.6
63787026831702,25.9,11.0,-0.1,0.0,15.0,8.5
63787026832813,23.8,8.9,-0.1,0.0,15.0,7.2
63787026833923,24.1,9.2,-0.1,0.0,15.0,8.2
63787026835033,26.6,11.7,-0.1,0.0,15.0,8.9
63787026836131,24.7,9.8,-0.1,0.0,15.0,8.8
63787026837233,22.9,8.0,-0.1,0.0,15.0,6.9
63787026838336,26.2,11.3,-0.1,0.0,15.0,9.2
63787026839433,26.0,11.1,-0.1,0.0,15.0,9.9
63787026840536,28.4,13.5,-0.1,0.0,15.0,10.9
63787026841629,26.6,11.7,-0.1,0.0,15.0,10.3
63787026842739,23.9,9.0,-0.1,0.0,15.0,8.2
63787026843835,26.6,11.7,-0.1,0.0,15.0,9.4
63787026844917,28.2,13.3,-0.1,0.0,15.0,12.1
63787026846027,27.4,12.5,-0.1,0.0,15.0,10.3
63787026847123,26.1,11.2,-0.1,0.0,15.0,9.5
63787026848236,27.7,12.8,-0.1,0.0,15.0,10.6
63787026849335,26.9,12.0,-0.1,0.0,15.0,11.2
63787026850431,27.8,12.9,-0.1,0.0,15.0,9.4
63787026851531,25.8,10.9,-0.1,0.0,15.0,9.4
63787026852629,26.7,11.8,-0.1,0.0,15.0,10.7
63787026853736,29.5,14.6,-0.1,0.0,15.0,13.2
63787026854840,26.7,11.8,-0.1,0.0,15.0,10.5
63787026855956,25.1,10.2,-0.1,0.0,15.0,8.9
63787026857054,26.6,11.7,-0.1,0.0,15.0,10.1
63787026858144,25.3,10.4,-0.1,0.0,15.0,9.5
63787026859251,26.5,11.6,-0.1,0.0,15.0,10.5
63787026860352,26.1,11.2,-0.1,0.0,15.0,10.3
63787026861443,27.0,12.1,-0.1,0.0,15.0,10.3
63787026862552,27.6,12.7,-0.1,0.0,15.0,9.8
63787026863657,28.4,13.5,-0.1,0.0,15.0,11.2
63787026864766,29.0,14.1,-0.1,0.0,15.0,10.9
63787026865879,28.8,13.9,-0.1,0.0,15.0,11.1
63787026866972,27.8,12.9,-0.1,0.0,15.0,9.9
63787026868097,27.6,12.7,-0.1,0.0,15.0,10.1
63787026869203,27.7,12.8,-0.1,0.0,15.0,10.1
63787026870310,27.2,12.3,-0.1,0.0,15.0,10.1
63787026871422,29.1,14.2,-0.1,0.0,15.0,11.4
63787026872526,27.8,12.9,-0.1,0.0,15.0,10.4
63787026873609,27.7,12.8,-0.1,0.0,15.0,10.0
63787026874714,28.2,13.3,-0.1,0.0,15.0,10.6
63787026875812,28.5,13.6,-0.1,0.0,15.0,11.1
63787026876916,27.2,12.3,-0.1,0.0,15.0,9.9
63787026878023,28.9,14.0,-0.1,0.0,15.0,11.1
63787026879132,28.7,13.8,-0.1,0.0,15.0,10.8
63787026880230,28.9,14.0,-0.1,0.0,15.0,10.8
63787026881321,30.2,15.3,-0.1,0.0,15.0,12.0
63787026882430,26.5,11.6,-0.1,0.0,15.0,9.1
63787026883525,28.6,13.7,-0.1,0.0,15.0,11.3
63787026884621,29.5,14.6,-0.1,0.0,15.0,11.2
63787026885727,29.8,14.9,-0.1,0.0,15.0,11.2
63787026886820,28.8,13.9,-0.1,0.0,15.0,12.0
63787026887917,24.8,9.9,-0.1,0.0,15.0,8.1
63787026889019,23.6,8.7,-0.1,0.0,15.0,7.7
63787026890119,24.4,9.5,-0.1,0.0,15.0,8.0
63787026891219,25.9,11.0,-0.1,0.0,15.0,8.3
63787026892317,25.3,10.4,-0.1,0.0,15.0,8.8
63787026893418,25.4,10.5,-0.1,0.0,15.0,8.0
63787026894499,24.4,9.5,-0.1,0.0,15.0,7.7
63787026895598,24.5,9.6,-0.1,0.0,15.0,8.2
63787026896709,24.9,10.0,-0.1,0.0,15.0,8.0
63787026897801,22.7,7.8,-0.1,0.0,15.0,6.3
63787026898898,25.7,10.8,-0.1,0.0,15.0,8.9
63787026899992,26.1,11.2,-0.1,0.0,15.0,9.4
63787026901093,25.5,10.6,-0.1,0.0,15.0,8.2
63787026902201,23.6,8.7,-0.1,0.0,15.0,7.3
63787026903301,24.6,9.7,-0.1,0.0,15.0,7.6
63787026904408,25.0,10.1,-0.1,0.0,15.0,8.6
63787026905503,25.2,10.3,-0.1,0.0,15.0,7.7
63787026906600,25.8,10.9,-0.1,0.0,15.0,8.8
63787026907711,27.1,12.2,-0.1,0.0,15.0,9.0
63787026908808,28.7,13.8,-0.1,0.0,15.0,10.9
63787026909889,28.8,13.9,-0.1,0.0,15.0,10.3
63787026910990,27.4,12.5,-0.1,0.0,15.0,9.4
63787026912098,29.3,14.4,-0.1,0.0,15.0,11.1
63787026913199,29.6,14.7,-0.1,0.0,15.0,11.2
63787026914303,29.8,14.9,-0.1,0.0,15.0,8.9
63787026915447,28.5,13.6,-0.1,0.0,15.0,10.0
63787026916539,28.8,13.9,-0.1,0.0,15.0,9.4
63787026917642,29.8,14.8,-0.1,0.0,15.0,11.3
63787026918756,28.0,13.1,-0.1,0.0,15.0,9.8
63787026919856,29.9,15.0,-0.1,0.0,15.0,11.5
63787026920969,28.1,13.2,-0.1,0.0,15.0,10.4
63787026922094,27.8,12.9,-0.1,0.0,15.0,9.9
63787026923205,28.7,13.8,-0.1,0.0,15.0,10.6
63787026924302,30.1,15.2,-0.1,0.0,15.0,12.2
63787026925395,27.6,12.7,-0.1,0.0,15.0,9.8
63787026926493,28.1,13.2,-0.1,0.0,15.0,9.9
63787026927595,28.3,13.4,-0.1,0.0,15.0,9.7
63787026928699,28.5,13.6,-0.1,0.0,15.0,10.1
63787026929796,27.9,13.0,-0.1,0.0,15.0,10.1
63787026930899,29.7,14.8,-0.1,0.0,15.0,11.7
63787026932000,27.4,12.5,-0.1,0.0,15.0,9.2
63787026933114,28.3,13.4,-0.1,0.0,15.0,10.4
63787026934217,28.6,13.7,-0.1,0.0,15.0,10.2
63787026935323,28.9,14.0,-0.1,0.0,15.0,10.7
63787026936425,28.2,13.3,-0.1,0.0,15.0,9.9
63787026937523,27.2,12.3,-0.1,0.0,15.0,9.8
63787026938617,29.6,14.7,-0.1,0.0,15.0,11.9
63787026939713,28.2,13.3,-0.1,0.0,15.0,10.4
63787026940807,28.2,13.3,-0.1,0.0,15.0,10.4
63787026941910,28.2,13.3,-0.1,0.0,15.0,9.8
63787026943012,29.1,14.2,-0.1,0.0,15.0,10.9
63787026944156,32.8,17.7,-0.1,0.1,15.0,10.1
