TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787007838145,30.0,15.1,-0.1,0.0,15.0,11.9
63787007839238,30.8,15.9,-0.1,0.0,15.0,11.3
63787007840308,29.2,14.3,-0.1,0.0,15.0,11.7
63787007841370,31.2,16.3,-0.1,0.0,15.0,13.2
63787007842488,29.9,15.0,-0.1,0.0,15.0,12.8
63787007843550,30.0,15.1,-0.1,0.0,15.0,11.7
63787007844638,29.5,14.6,-0.1,0.0,15.0,12.5
63787007845747,30.8,15.9,-0.1,0.0,15.0,13.8
63787007846816,30.0,15.1,-0.1,0.0,15.0,12.0
63787007847912,30.0,15.1,-0.1,0.0,15.0,12.2
63787007849026,29.9,15.0,-0.1,0.0,15.0,11.9
63787007850091,32.0,17.1,-0.1,0.0,15.0,14.2
63787007851196,31.5,16.6,-0.1,0.0,15.0,13.3
63787007852270,29.9,15.0,-0.1,0.0,15.0,11.9
63787007853376,29.8,14.9,-0.1,0.0,15.0,12.1
63787007854460,30.3,15.4,-0.1,0.0,15.0,12.4
63787007855540,31.2,16.3,-0.1,0.0,15.0,13.2
63787007856641,29.2,14.3,-0.1,0.0,15.0,11.8
63787007857755,30.4,15.5,-0.1,0.0,15.0,12.4
63787007858842,30.7,15.8,-0.1,0.0,15.0,12.5
63787007859940,30.3,15.4,-0.1,0.0,15.0,12.3
63787007861041,31.6,16.7,-0.1,0.0,15.0,14.2
63787007862109,29.9,15.0,-0.1,0.0,15.0,11.2
63787007863205,29.9,15.0,-0.1,0.0,15.0,11.9
63787007864278,29.6,14.7,-0.1,0.0,15.0,11.3
63787007865381,29.9,15.0,-0.1,0.0,15.0,12.2
63787007866482,29.8,14.9,-0.1,0.0,15.0,11.8
63787007867592,30.1,15.2,-0.1,0.0,15.0,12.5
63787007868694,29.3,14.4,-0.1,0.0,15.0,11.3
63787007869768,30.1,15.2,-0.1,0.0,15.0,12.2
63787007870841,30.1,15.2,-0.1,0.0,15.0,12.0
63787007871936,30.6,15.7,-0.1,0.0,15.0,13.3
63787007873005,28.9,14.0,-0.1,0.0,15.0,11.2
63787007874106,30.2,15.3,-0.1,0.0,15.0,13.4
63787007875225,29.8,14.9,-0.1,0.0,15.0,11.9
63787007876300,29.7,14.8,-0.1,0.0,15.0,12.7
63787007877391,31.9,17.0,-0.1,0.0,15.0,13.9
63787007878468,29.6,14.7,-0.1,0.0,15.0,11.6
63787007879566,33.6,18.7,-0.1,0.0,15.0,11.7
63787007880646,31.4,16.5,-0.1,0.0,15.0,10.8
63787007881724,31.9,17.0,-0.1,0.0,15.0,14.0
63787007882822,28.1,13.2,-0.1,0.0,15.0,10.1
63787007883912,30.8,15.9,-0.1,0.0,15.0,13.1
63787007885016,30.3,15.4,-0.1,0.0,15.0,12.4
63787007886075,30.1,15.2,-0.1,0.0,15.0,11.7
63787007887158,30.0,15.1,-0.1,0.0,15.0,12.1
63787007888221,31.4,16.5,-0.1,0.0,15.0,14.4
63787007889313,30.3,15.4,-0.1,0.0,15.0,11.9
63787007890394,27.9,13.0,-0.1,0.0,15.0,9.9
63787007891472,30.8,15.9,-0.1,0.0,15.0,11.6
63787007892540,29.0,14.0,-0.1,0.0,15.0,11.1
63787007893635,29.8,14.9,-0.1,0.0,15.0,11.7
63787007894703,30.6,15.7,-0.1,0.0,15.0,12.3
63787007895776,31.0,16.1,-0.1,0.0,15.0,13.3
63787007896872,30.6,15.7,-0.1,0.0,15.0,12.7
63787007897953,28.9,14.0,-0.1,0.0,15.0,11.1
63787007899037,30.1,15.2,-0.1,0.0,15.0,13.0
63787007900124,29.7,14.8,-0.1,0.0,15.0,11.3
63787007901210,30.0,15.1,-0.1,0.0,15.0,12.1
