,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.903,0.879,0.812,0.886,0.852,0.852,0.939,0.938,0.913,0.889,0.887,0.886,0.889
recall,1.0,0.967,0.897,0.861,0.92,0.852,0.912,0.811,0.913,0.774,0.887,0.891,0.887
f1-score,0.949,0.921,0.852,0.873,0.885,0.852,0.925,0.87,0.913,0.828,0.887,0.887,0.886
support,28.0,30.0,29.0,36.0,25.0,27.0,34.0,37.0,23.0,31.0,0.887,300.0,300.0
